time,open,close,low,high,TradingVolume_usd
2021-09-05,46993.31,51784.16,46544.74,51890.18,793137.0073321699
2021-09-12,51784.16,46049.72,43904.42,52919.24,2304957.0501967254
2021-09-19,46049.72,47251.76,43511.3,48808.0,6587417.6280009765
2021-09-26,47251.76,43201.79,39767.17,47340.49,7290510.037849984
2021-10-03,43201.79,48234.05,40790.67,49185.34,10806930.256669763
2021-10-10,48234.05,54700.24,46944.28,56473.63,25306626.72105024
2021-10-17,54700.24,61520.54,54098.22,62889.98,56380896.58634505
2021-10-24,61520.54,60863.56,59529.34,66980.66,89425098.95966133
2021-10-31,60863.56,61349.75,58128.18,63709.97,56610052.91897074
2021-11-07,61349.75,63302.78,59554.88,64283.57,65327258.43296893
2021-11-14,63302.78,65509.06,62315.02,68978.64,107952953.12926745
2021-11-21,65509.06,58700.83,55655.03,66335.42,59998775.33378595
2021-11-28,58700.83,57331.41,53436.05,59437.04,124417819.95830339
2021-12-05,57331.41,49465.5,43563.07,59226.33,124203820.83548243
2021-12-12,49465.5,50109.99,46829.85,51953.27,68923320.8945094
2021-12-19,50109.99,46697.13,45505.02,50215.42,129659988.06563085
2021-12-26,46697.13,50790.88,45586.49,51863.56,155511281.37590036
2022-01-02,50790.88,47306.41,45665.44,52079.46,152032860.81466928
2022-01-09,47306.41,41869.6,40534.37,47572.23,186001833.70640966
2022-01-16,41869.6,43100.36,39667.6,44442.67,173693931.09057727
2022-01-23,43100.36,36288.15,34130.35,43513.14,75941036.67425169
2022-01-30,36288.15,37908.44,32990.72,38930.36,69271866.5242995
2022-02-06,37908.44,42412.41,36270.47,42671.81,69452323.38384622
2022-02-13,42412.41,42069.84,41689.77,45837.02,70852426.44861111
2022-02-20,42069.84,38397.25,38019.97,44771.91,36840395.6068801
2022-02-27,38397.25,37714.96,34349.58,40228.13,303694423.44491273
2022-03-06,37714.96,38428.92,37473.3,45069.78,994323193.1981972
2022-03-13,38428.92,37796.31,37191.99,42557.95,671119639.6609005
2022-03-20,37796.31,41243.16,37566.52,42367.55,180941162.67547685
2022-03-27,41243.16,46842.14,40555.57,46896.6,818343835.9304259
2022-04-03,46842.14,46414.26,44256.66,48208.48,389164967.6933387
2022-04-10,46414.26,42153.77,41921.59,47187.66,535987257.92096925
2022-04-17,42153.77,39688.16,39229.4,42422.86,322083314.0894812
2022-04-24,39688.16,39466.26,38569.14,42996.5,156894690.03961226
