,time,OpenInterest_long,OpenInterest_short,liquidate_long,liquidate_short,open,high,low,close,TradingVolume_usd
197,2020-08-05,413245894.455,413245894.455,8086742.467499992,9575396.38499994,11200.06,11798.56,11103.0,11752.5,262097.99699980466
198,2020-08-06,427649622.02784,427649622.02784,11094129.457919989,3893148.0316799944,11752.5,11916.02,11571.78,11770.56,235762.62899990825
199,2020-08-07,376622286.8282,376622286.8282,17875627.987559948,1776238.0865600011,11769.97,11920.0,11318.93,11596.06,257816.69699993767
200,2020-08-08,397406006.38628,397406006.38628,4179501.418439996,3226819.304319994,11596.26,11819.0,11513.69,11765.72,154707.30299995176
201,2020-08-09,405448216.00161,405448216.00161,4751289.814199998,1021495.7578800002,11765.72,11811.0,11526.9,11685.99,125463.46299997915
202,2020-08-10,410458016.2974299,410458016.2974299,14774462.165639978,12584673.004680004,11685.99,12100.0,11455.0,11896.89,271969.4499998031
203,2020-08-11,412602309.86688,412602309.86688,31668588.506239973,3563298.798079999,11896.86,11944.0,11127.0,11392.64,314278.03399976756
204,2020-08-12,412702966.68564,412702966.68564,4034673.780480001,2905810.0749600017,11392.64,11630.0,11140.0,11568.36,212052.3129999009
205,2020-08-13,408919030.92,408919030.92,7842448.619999988,5305146.299999999,11568.37,11798.0,11272.0,11790.0,236879.59899978322
206,2020-08-14,398752340.17841995,398752340.17841995,2658283.9757699985,2151252.6672300017,11790.0,11868.42,11644.6,11767.89,158203.89999996126
207,2020-08-15,415330168.76768,415330168.76768,9790752.269759988,4018850.770399994,11767.89,11993.58,11682.0,11859.04,222262.98699984446
208,2020-08-16,423056580.86425996,423056580.86425996,2965465.568650003,1199549.9262900003,11858.91,11945.0,11688.0,11921.23,163324.7199999676
209,2020-08-17,445410177.83132,445410177.83132,10587436.74817998,17847276.719619986,11921.32,12499.42,11780.0,12298.06,313775.1779997135
210,2020-08-18,453471655.97694004,453471655.97694004,25640823.95459996,1512944.2486800004,12298.06,12403.0,11810.0,11960.79,291090.4249998953
211,2020-08-19,426242583.9007801,426242583.9007801,27969577.326209884,1977259.5057299999,11962.03,12037.05,11574.78,11763.87,312108.0659998201
212,2020-08-20,420392387.05152,420392387.05152,718340.9356800003,1036062.04416,11763.88,11888.0,11676.03,11857.92,130981.04399998767
213,2020-08-21,395610974.20093,395610974.20093,12141222.037489992,1018806.0448800004,11858.53,11882.68,11491.0,11538.53,195060.37899988313
214,2020-08-22,389460214.31975,389460214.31975,5295464.092029988,2068579.1370300008,11538.53,11689.08,11385.06,11670.47,126696.34499997487
215,2020-08-23,391332626.116,391332626.116,1565143.8539999991,1339032.9460000007,11670.48,11724.0,11522.15,11654.0,95608.03299998632
216,2020-08-24,413812936.67219996,413812936.67219996,934880.9885999993,1140281.6594000007,11654.0,11831.96,11595.0,11753.3,108612.00099996995
217,2020-08-25,424001447.90533006,424001447.90533006,30158284.29141004,1496523.046060001,11753.29,11770.0,11130.0,11327.17,267234.77099981357
218,2020-08-26,404595800.56824,404595800.56824,2515379.0800599996,4228822.199539994,11327.18,11548.68,11255.95,11466.22,170305.0239998851
219,2020-08-27,408600117.63645,408600117.63645,8377126.702949994,5496530.48382,11466.22,11593.0,11130.82,11335.53,229761.5979998688
220,2020-08-28,421468907.61185,421468907.61185,272529.3145500001,1946204.8808500015,11335.83,11544.88,11283.19,11526.85,121653.78999996981
221,2020-08-29,420247195.13675994,420247195.13675994,739966.5031200006,800407.2679799997,11526.85,11582.0,11419.34,11466.66,82398.22699997996
