,symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
0,MNTUSDT.6,6,MNTUSDT,MNT,USDT,,True,True,STABLE,BASE_ASSET,True,True
1,QNTUSDT.6,6,QNTUSDT,QNT,USDT,,True,True,STABLE,BASE_ASSET,True,True
2,MAVUSDT.6,6,MAVUSDT,MAV,USDT,,True,True,STABLE,BASE_ASSET,True,True
3,NMRUSDT_PERP.A,A,NMRUSDT,NMR,USDT,,True,True,STABLE,BASE_ASSET,True,True
4,VRAUSDT.6,6,VRAUSDT,VRA,USDT,,True,True,STABLE,BASE_ASSET,True,True
5,BIGTIMEUSDT_PERP.A,A,BIGTIMEUSDT,BIGTIME,USDT,,True,True,STABLE,BASE_ASSET,True,True
6,MAVUSDT_PERP.A,A,MAVUSDT,MAV,USDT,,True,True,STABLE,BASE_ASSET,True,True
7,MCUSDT.6,6,MCUSDT,MC,USDT,,True,True,STABLE,BASE_ASSET,True,True
8,WLDUSDT.6,6,WLDUSDT,WLD,USDT,,True,True,STABLE,BASE_ASSET,True,True
9,NMRUSDT.6,6,NMRUSDT,NMR,USDT,,True,True,STABLE,BASE_ASSET,True,True
10,AGLDUSDT_PERP.A,A,AGLDUSDT,AGLD,USDT,,True,True,STABLE,BASE_ASSET,True,True
11,FORTHUSDT.6,6,FORTHUSDT,FORTH,USDT,,True,True,STABLE,BASE_ASSET,True,True
12,VGXUSDT.6,6,VGXUSDT,VGX,USDT,,True,True,STABLE,BASE_ASSET,True,True
13,ARKUSDT.6,6,ARKUSDT,ARK,USDT,,True,True,STABLE,BASE_ASSET,True,True
14,ALPACAUSDT.6,6,ALPACAUSDT,ALPACA,USDT,,True,True,STABLE,BASE_ASSET,True,True
15,CYBERUSDT_PERP.A,A,CYBERUSDT,CYBER,USDT,,True,True,STABLE,BASE_ASSET,True,True
16,HIFIUSDT.6,6,HIFIUSDT,HIFI,USDT,,True,True,STABLE,BASE_ASSET,True,True
17,STPTUSDT.6,6,STPTUSDT,STPT,USDT,,True,True,STABLE,BASE_ASSET,True,True
18,OGUSDT.6,6,OGUSDT,OG,USDT,,True,True,STABLE,BASE_ASSET,True,True
19,ARKUSDT_PERP.A,A,ARKUSDT,ARK,USDT,,True,True,STABLE,BASE_ASSET,True,True
20,WLDUSDT_PERP.A,A,WLDUSDT,WLD,USDT,,True,True,STABLE,BASE_ASSET,True,True
21,PENDLEUSDT_PERP.A,A,PENDLEUSDT,PENDLE,USDT,,True,True,STABLE,BASE_ASSET,True,True
22,ARKMUSDT.6,6,ARKMUSDT,ARKM,USDT,,True,True,STABLE,BASE_ASSET,True,True
23,ARKMUSDT_PERP.A,A,ARKMUSDT,ARKM,USDT,,True,True,STABLE,BASE_ASSET,True,True
24,MULTIUSDT.6,6,MULTIUSDT,MULTI,USDT,,True,True,STABLE,BASE_ASSET,True,True
25,LOOMUSDT.6,6,LOOMUSDT,LOOM,USDT,,True,True,STABLE,BASE_ASSET,True,True
26,FRONTUSDT_PERP.A,A,FRONTUSDT,FRONT,USDT,,True,True,STABLE,BASE_ASSET,True,True
27,CYBERUSDT.6,6,CYBERUSDT,CYBER,USDT,,True,True,STABLE,BASE_ASSET,True,True
28,SEIUSDT.6,6,SEIUSDT,SEI,USDT,,True,True,STABLE,BASE_ASSET,True,True
29,AAVEUSD_PERP.A,A,AAVEUSD_PERP,AAVE,USD,,True,True,COIN,QUOTE_ASSET,True,True
30,ADAUSD_PERP.A,A,ADAUSD_PERP,ADA,USD,,True,True,COIN,QUOTE_ASSET,True,True
31,APEUSD_PERP.A,A,APEUSD_PERP,APE,USD,,True,True,COIN,QUOTE_ASSET,True,True
32,APTUSD_PERP.A,A,APTUSD_PERP,APT,USD,,True,True,COIN,QUOTE_ASSET,True,True
33,AXSUSD_PERP.A,A,AXSUSD_PERP,AXS,USD,,True,True,COIN,QUOTE_ASSET,True,True
34,BCHUSD_PERP.A,A,BCHUSD_PERP,BCH,USD,,True,True,COIN,QUOTE_ASSET,True,True
35,BNBUSD_PERP.A,A,BNBUSD_PERP,BNB,USD,,True,True,COIN,QUOTE_ASSET,True,True
36,BTCUSD_PERP.A,A,BTCUSD_PERP,BTC,USD,,True,True,COIN,QUOTE_ASSET,True,True
37,CHZUSD_PERP.A,A,CHZUSD_PERP,CHZ,USD,,True,True,COIN,QUOTE_ASSET,True,True
38,DOGEUSD_PERP.A,A,DOGEUSD_PERP,DOGE,USD,,True,True,COIN,QUOTE_ASSET,True,True
39,DOTUSD_PERP.A,A,DOTUSD_PERP,DOT,USD,,True,True,COIN,QUOTE_ASSET,True,True
40,EGLDUSD_PERP.A,A,EGLDUSD_PERP,EGLD,USD,,True,True,COIN,QUOTE_ASSET,True,True
41,ENSUSD_PERP.A,A,ENSUSD_PERP,ENS,USD,,True,True,COIN,QUOTE_ASSET,True,True
42,EOSUSD_PERP.A,A,EOSUSD_PERP,EOS,USD,,True,True,COIN,QUOTE_ASSET,True,True
43,ETCUSD_PERP.A,A,ETCUSD_PERP,ETC,USD,,True,True,COIN,QUOTE_ASSET,True,True
44,ETHUSD_PERP.A,A,ETHUSD_PERP,ETH,USD,,True,True,COIN,QUOTE_ASSET,True,True
45,FILUSD_PERP.A,A,FILUSD_PERP,FIL,USD,,True,True,COIN,QUOTE_ASSET,True,True
46,FTMUSD_PERP.A,A,FTMUSD_PERP,FTM,USD,,True,True,COIN,QUOTE_ASSET,True,True
47,GMTUSD_PERP.A,A,GMTUSD_PERP,GMT,USD,,True,True,COIN,QUOTE_ASSET,True,True
48,ICXUSD_PERP.A,A,ICXUSD_PERP,ICX,USD,,True,True,COIN,QUOTE_ASSET,True,True
49,KNCUSD_PERP.A,A,KNCUSD_PERP,KNC,USD,,True,True,COIN,QUOTE_ASSET,True,True
50,LINKUSD_PERP.A,A,LINKUSD_PERP,LINK,USD,,True,True,COIN,QUOTE_ASSET,True,True
51,LTCUSD_PERP.A,A,LTCUSD_PERP,LTC,USD,,True,True,COIN,QUOTE_ASSET,True,True
52,MATICUSD_PERP.A,A,MATICUSD_PERP,MATIC,USD,,True,True,COIN,QUOTE_ASSET,True,True
53,NEARUSD_PERP.A,A,NEARUSD_PERP,NEAR,USD,,True,True,COIN,QUOTE_ASSET,True,True
54,OPUSD_PERP.A,A,OPUSD_PERP,OP,USD,,True,True,COIN,QUOTE_ASSET,True,True
55,ROSEUSD_PERP.A,A,ROSEUSD_PERP,ROSE,USD,,True,True,COIN,QUOTE_ASSET,True,True
56,RUNEUSD_PERP.A,A,RUNEUSD_PERP,RUNE,USD,,True,True,COIN,QUOTE_ASSET,True,True
57,SANDUSD_PERP.A,A,SANDUSD_PERP,SAND,USD,,True,True,COIN,QUOTE_ASSET,True,True
58,SOLUSD_PERP.A,A,SOLUSD_PERP,SOL,USD,,True,True,COIN,QUOTE_ASSET,True,True
59,THETAUSD_PERP.A,A,THETAUSD_PERP,THETA,USD,,True,True,COIN,QUOTE_ASSET,True,True
60,TRXUSD_PERP.A,A,TRXUSD_PERP,TRX,USD,,True,True,COIN,QUOTE_ASSET,True,True
61,UNIUSD_PERP.A,A,UNIUSD_PERP,UNI,USD,,True,True,COIN,QUOTE_ASSET,True,True
62,XLMUSD_PERP.A,A,XLMUSD_PERP,XLM,USD,,True,True,COIN,QUOTE_ASSET,True,True
63,XMRUSD_PERP.A,A,XMRUSD_PERP,XMR,USD,,True,True,COIN,QUOTE_ASSET,True,True
64,XRPUSD_PERP.A,A,XRPUSD_PERP,XRP,USD,,True,True,COIN,QUOTE_ASSET,True,True
65,XTZUSD_PERP.A,A,XTZUSD_PERP,XTZ,USD,,True,True,COIN,QUOTE_ASSET,True,True
66,BADGERUSDT.6,6,BADGERUSDT,BADGER,USDT,,True,True,STABLE,BASE_ASSET,True,True
67,YFIIUSDT.6,6,YFIIUSDT,YFII,USDT,,True,True,STABLE,BASE_ASSET,True,True
68,BONDUSDT_PERP.A,A,BONDUSDT,BOND,USDT,,True,True,STABLE,BASE_ASSET,True,True
69,STRAXUSDT.6,6,STRAXUSDT,STRAX,USDT,,True,True,STABLE,BASE_ASSET,True,True
70,MDTUSDT.6,6,MDTUSDT,MDT,USDT,,True,True,STABLE,BASE_ASSET,True,True
71,MDTUSDT_PERP.A,A,MDTUSDT,MDT,USDT,,True,True,STABLE,BASE_ASSET,True,True
72,SEIUSDT_PERP.A,A,SEIUSDT,SEI,USDT,,True,True,STABLE,BASE_ASSET,True,True
73,GLMUSDT.6,6,GLMUSDT,GLM,USDT,,True,True,STABLE,BASE_ASSET,True,True
74,OXTUSDT.6,6,OXTUSDT,OXT,USDT,,True,True,STABLE,BASE_ASSET,True,True
75,XVGUSDT.6,6,XVGUSDT,XVG,USDT,,True,True,STABLE,BASE_ASSET,True,True
76,PENDLEUSDT.6,6,PENDLEUSDT,PENDLE,USDT,,True,True,STABLE,BASE_ASSET,True,True
77,XVGUSDT_PERP.A,A,XVGUSDT,XVG,USDT,,True,True,STABLE,BASE_ASSET,True,True
78,BNTUSDT_PERP.A,A,BNTUSDT,BNT,USDT,,True,True,STABLE,BASE_ASSET,True,True
79,TONUSDT.6,6,TONUSDT,TON,USDT,,True,True,STABLE,BASE_ASSET,True,True
80,KASUSDT.6,6,KASUSDT,KAS,USDT,,True,True,STABLE,BASE_ASSET,True,True
81,YGGUSDT_PERP.A,A,YGGUSDT,YGG,USDT,,True,True,STABLE,BASE_ASSET,True,True
82,BNTUSDT.6,6,BNTUSDT,BNT,USDT,,True,True,STABLE,BASE_ASSET,True,True
83,TOMIUSDT.6,6,TOMIUSDT,TOMI,USDT,,True,True,STABLE,BASE_ASSET,True,True
84,AUCTIONUSDT.6,6,AUCTIONUSDT,AUCTION,USDT,,True,True,STABLE,BASE_ASSET,True,True
85,ATAUSDT.6,6,ATAUSDT,ATA,USDT,,True,True,STABLE,BASE_ASSET,True,True
86,DODOXUSDT_PERP.A,A,DODOXUSDT,DODOX,USDT,,True,True,STABLE,BASE_ASSET,True,True
87,WAXPUSDT.6,6,WAXPUSDT,WAXP,USDT,,True,True,STABLE,BASE_ASSET,True,True
88,OXTUSDT_PERP.A,A,OXTUSDT,OXT,USDT,,True,True,STABLE,BASE_ASSET,True,True
89,BONDUSDT.6,6,BONDUSDT,BOND,USDT,,True,True,STABLE,BASE_ASSET,True,True
90,MINAUSDT_PERP.A,A,MINAUSDT,MINA,USDT,,True,True,STABLE,BASE_ASSET,True,True
91,MANAUSD_PERP.A,A,MANAUSD_PERP,MANA,USD,,True,True,COIN,QUOTE_ASSET,True,True
92,COTIUSDT.6,6,COTIUSDT,COTI,USDT,,True,True,STABLE,BASE_ASSET,True,True
93,PEOPLEUSDT_PERP.A,A,PEOPLEUSDT,PEOPLE,USDT,,True,True,STABLE,BASE_ASSET,True,True
94,RIFUSDT_PERP.A,A,RIFUSDT,RIF,USDT,,True,True,STABLE,BASE_ASSET,True,True
95,GALAUSDT.6,6,GALAUSDT,GALA,USDT,,True,True,STABLE,BASE_ASSET,True,True
96,ASTRUSDT_PERP.A,A,ASTRUSDT,ASTR,USDT,,True,True,STABLE,BASE_ASSET,True,True
97,WOOUSDT.6,6,WOOUSDT,WOO,USDT,,True,True,STABLE,BASE_ASSET,True,True
98,RSS3USDT.6,6,RSS3USDT,RSS3,USDT,,True,True,STABLE,BASE_ASSET,True,True
99,ANTUSDT.6,6,ANTUSDT,ANT,USDT,,True,True,STABLE,BASE_ASSET,True,True
100,XVSUSDT_PERP.A,A,XVSUSDT,XVS,USDT,,True,True,STABLE,BASE_ASSET,True,True
101,SWEATUSDT.6,6,SWEATUSDT,SWEAT,USDT,,True,True,STABLE,BASE_ASSET,True,True
102,DUSKUSDT.6,6,DUSKUSDT,DUSK,USDT,,True,True,STABLE,BASE_ASSET,True,True
103,MAGICUSDT_PERP.A,A,MAGICUSDT,MAGIC,USDT,,True,True,STABLE,BASE_ASSET,True,True
104,10000NFTUSDT.6,6,10000NFTUSDT,10000NFT,USDT,,True,True,STABLE,BASE_ASSET,True,True
105,AUDIOUSDT.6,6,AUDIOUSDT,AUDIO,USDT,,True,True,STABLE,BASE_ASSET,True,True
106,1INCHUSDT.6,6,1INCHUSDT,1INCH,USDT,,True,True,STABLE,BASE_ASSET,True,True
107,FLOWUSDT.6,6,FLOWUSDT,FLOW,USDT,,True,True,STABLE,BASE_ASSET,True,True
108,ILVUSDT.6,6,ILVUSDT,ILV,USDT,,True,True,STABLE,BASE_ASSET,True,True
109,C98USDT.6,6,C98USDT,C98,USDT,,True,True,STABLE,BASE_ASSET,True,True
110,TUSDT_PERP.A,A,TUSDT,T,USDT,,True,True,STABLE,BASE_ASSET,True,True
111,SFPUSDT.6,6,SFPUSDT,SFP,USDT,,True,True,STABLE,BASE_ASSET,True,True
112,SHIB1000USDT.6,6,SHIB1000USDT,1000SHIB,USDT,,True,True,STABLE,BASE_ASSET,True,True
113,ZENUSDT.6,6,ZENUSDT,ZEN,USDT,,True,True,STABLE,BASE_ASSET,True,True
114,FETUSDT_PERP.A,A,FETUSDT,FET,USDT,,True,True,STABLE,BASE_ASSET,True,True
115,HIGHUSDT_PERP.A,A,HIGHUSDT,HIGH,USDT,,True,True,STABLE,BASE_ASSET,True,True
116,BANDUSDT.6,6,BANDUSDT,BAND,USDT,,True,True,STABLE,BASE_ASSET,True,True
117,BSVUSDT.6,6,BSVUSDT,BSV,USDT,,True,True,STABLE,BASE_ASSET,True,True
118,BICOUSDT.6,6,BICOUSDT,BICO,USDT,,True,True,STABLE,BASE_ASSET,True,True
119,RNDRUSDT_PERP.A,A,RNDRUSDT,RNDR,USDT,,True,True,STABLE,BASE_ASSET,True,True
120,FXSUSDT_PERP.A,A,FXSUSDT,FXS,USDT,,True,True,STABLE,BASE_ASSET,True,True
121,CTKUSDT.6,6,CTKUSDT,CTK,USDT,,True,True,STABLE,BASE_ASSET,True,True
122,MASKUSDT.6,6,MASKUSDT,MASK,USDT,,True,True,STABLE,BASE_ASSET,True,True
123,STXUSDT.6,6,STXUSDT,STX,USDT,,True,True,STABLE,BASE_ASSET,True,True
124,KLAYUSDT.6,6,KLAYUSDT,KLAY,USDT,,True,True,STABLE,BASE_ASSET,True,True
125,OCEANUSDT.6,6,OCEANUSDT,OCEAN,USDT,,True,True,STABLE,BASE_ASSET,True,True
126,BUSDUSDT.6,6,BUSDUSDT,BUSD,USDT,,True,True,STABLE,BASE_ASSET,True,True
127,1000PEPEUSDT.6,6,1000PEPEUSDT,1000PEPE,USDT,,True,True,STABLE,BASE_ASSET,True,True
128,CFXUSDT_PERP.A,A,CFXUSDT,CFX,USDT,,True,True,STABLE,BASE_ASSET,True,True
129,IDEXUSDT_PERP.A,A,IDEXUSDT,IDEX,USDT,,True,True,STABLE,BASE_ASSET,True,True
130,USDCUSDT_PERP.A,A,USDCUSDT,USDC,USDT,,True,True,STABLE,BASE_ASSET,True,True
131,SKLUSDT.6,6,SKLUSDT,SKL,USDT,,True,True,STABLE,BASE_ASSET,True,True
132,YFIUSDT.6,6,YFIUSDT,YFI,USDT,,True,True,STABLE,BASE_ASSET,True,True
133,RENUSDT.6,6,RENUSDT,REN,USDT,,True,True,STABLE,BASE_ASSET,True,True
134,BSWUSDT.6,6,BSWUSDT,BSW,USDT,,True,True,STABLE,BASE_ASSET,True,True
135,CFXUSDT.6,6,CFXUSDT,CFX,USDT,,True,True,STABLE,BASE_ASSET,True,True
136,CTSIUSDT.6,6,CTSIUSDT,CTSI,USDT,,True,True,STABLE,BASE_ASSET,True,True
137,FETUSDT.6,6,FETUSDT,FET,USDT,,True,True,STABLE,BASE_ASSET,True,True
138,COREUSDT.6,6,COREUSDT,CORE,USDT,,True,True,STABLE,BASE_ASSET,True,True
139,AGIXUSDT.6,6,AGIXUSDT,AGIX,USDT,,True,True,STABLE,BASE_ASSET,True,True
140,STGUSDT.6,6,STGUSDT,STG,USDT,,True,True,STABLE,BASE_ASSET,True,True
141,SUIUSDT.6,6,SUIUSDT,SUI,USDT,,True,True,STABLE,BASE_ASSET,True,True
142,ALPHAUSDT.6,6,ALPHAUSDT,ALPHA,USDT,,True,True,STABLE,BASE_ASSET,True,True
143,NTRNUSDT.6,6,NTRNUSDT,NTRN,USDT,,True,True,STABLE,BASE_ASSET,True,True
144,GLMRUSDT.6,6,GLMRUSDT,GLMR,USDT,,True,True,STABLE,BASE_ASSET,True,True
145,ANKRUSDT.6,6,ANKRUSDT,ANKR,USDT,,True,True,STABLE,BASE_ASSET,True,True
146,SUIUSDT_PERP.A,A,SUIUSDT,SUI,USDT,,True,True,STABLE,BASE_ASSET,True,True
147,BLURUSDT.6,6,BLURUSDT,BLUR,USDT,,True,True,STABLE,BASE_ASSET,True,True
148,NKNUSDT.6,6,NKNUSDT,NKN,USDT,,True,True,STABLE,BASE_ASSET,True,True
149,ADAUSD.6,6,ADAUSD,ADA,USD,,True,True,COIN,QUOTE_ASSET,True,True
150,SCRTUSDT.6,6,SCRTUSDT,SCRT,USDT,,True,True,STABLE,BASE_ASSET,True,True
151,PHBUSDT.6,6,PHBUSDT,PHB,USDT,,True,True,STABLE,BASE_ASSET,True,True
