time,open,close,low,high,TradingVolume_binance,liquidate_long_binance,liquidate_short_binance,OpenInterest_long_binance,OpenInterest_short_binance,TradingVolume_bybit,liquidate_long_bybit,liquidate_short_bybit,OpenInterest_long_bybit,OpenInterest_short_bybit,TradingVolume_GMX,liquidate_long_GMX,liquidate_short_GMX,OpenInterest_long_GMX,OpenInterest_short_GMX,TradingVolume_perp,liquidate_long_perp,liquidate_short_perp,OpenInterest_long_perp,OpenInterest_short_perp,TradingVolume_GNS,liquidate_long_GNS,liquidate_short_GNS,OpenInterest_long_GNS,OpenInterest_short_GNS
2020-08-09,11200.06,11685.99,11103.0,11920.0,1035848.0889995815,45987291.14561993,19493097.56543993,405448216.00161,405448216.00161,51700.847008815304,4442592.886499999,1355511.4800000002,60261460.623,60261460.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-16,11685.99,11921.23,11127.0,12100.0,1578971.0029990282,73734674.88653994,31728581.54164,423056580.86426,423056580.86426,105616.39799732059,14673090.2455,3738581.2845,71337306.222,71337306.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-23,11921.32,11654.0,11385.06,12499.42,1465319.469999261,83918008.94818981,26799960.64609999,391332626.116,391332626.116,66938.1279986111,7590541.688500003,6433980.762499997,57642236.08,57642236.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-30,11654.0,11714.14,11130.0,11831.96,1093206.7609994605,43837145.301630035,20866117.063829992,437372590.58686,437372590.58686,37398.54700110741,5359997.022500001,2799644.4825000004,60237176.8,60237176.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-06,11714.13,10258.13,9808.58,12061.07,1963470.3339989618,113694683.31707044,41239418.31661998,344133077.45549995,344133077.45549995,72266.58000852066,14585297.490500001,3047302.8060000003,32049155.385,32049155.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-13,10258.13,10327.72,9842.01,10580.0,1306669.2149990967,32668435.421379946,35441344.21089999,355248688.52252,355248688.52252,36175.99999630933,2336007.5865000007,1862588.8685000003,41816763.84,41816763.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-20,10327.72,10914.28,10241.57,11177.0,1293155.1739996374,24117645.54885999,35633075.82819994,398607601.47624,398607601.47624,32015.307992506856,1469661.6395,6131131.882000001,55250511.36,55250511.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,10915.52,10768.0,10132.21,10980.69,1337071.8079996416,41269003.01269999,39849844.91039008,403958181.92,403958181.92,36465.30800530816,3523308.552,4272576.206500001,58736456.7,58736456.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-04,10768.0,10660.16,10371.03,11024.0,1105911.482999315,27532034.59556997,26278230.834690023,397187530.38944,397187530.38944,31587.370000708994,1585738.1985,1450047.3140000002,56622210.224,56622210.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,10660.16,11369.59,10510.66,11494.0,1130157.3729993824,15759605.19471999,69073432.36606042,447734749.80934,447734749.80934,37846.034013205484,1161907.1395,5238119.1435,60600012.308,60600012.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-18,11369.59,11501.1,11157.0,11732.0,1261691.7339991631,39727881.89662997,32875093.087999854,441470781.6012,441470781.6012,36218.93899180343,2483156.4375,2339221.884,56092911.68,56092911.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,11501.5,13023.81,11404.01,13369.0,2096887.2619987074,79911640.15075992,172855386.46112084,576897504.28362,576897504.28362,77218.06496241053,5594863.169,16137927.801999992,65447383.128000006,65447383.128000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
