,time,OpenInterest_long,OpenInterest_short,TradingVolume_usd,liquidate_short,liquidate_long,high,low,open,close
0,2021-11-27,11125.598734645495,64473.52830179181,359561.76953581243,0.0,0.0,55316.65,53668.95,53788.22,54805.03
1,2021-11-28,14810.86684738889,104537.39695183859,791294.3887078287,0.0,0.0,57475.26,53436.05,54805.03,57331.41
2,2021-11-29,14810.86684738889,163268.1124949534,408786.88111245487,0.0,11003.200438227099,58898.57,56752.37,57331.41,57839.55
3,2021-11-30,20533.17029156891,190993.27623454272,2315875.9698985736,0.0,0.0,59226.33,55931.33,57839.55,56975.35
4,2021-12-01,191569.75331921334,115162.05836998738,4283236.961648139,0.0,0.0,59096.53,56505.99,56975.35,57227.97
5,2021-12-02,499305.5651955713,116182.48398298073,4957205.856441361,0.0,0.0,57409.48,55850.4,57227.97,56522.76
6,2021-12-03,631083.4220033494,224395.26537625713,9742184.83105855,45777.88623418298,0.0,57639.15,52493.23,56522.76,53663.25
7,2021-12-04,464068.9703056839,547825.8695825136,14884924.730807576,30938.365257438345,0.0,53871.2,43563.07,53663.25,49243.39
8,2021-12-05,464068.9703056839,590706.8178578506,6870454.066695641,0.0,0.0,49764.31,47840.63,49243.39,49465.5
9,2021-12-06,685936.3792676828,1397637.2546957324,9139715.516344814,0.0,0.0,50986.02,47260.2,49465.5,50552.83
10,2021-12-07,1401559.8529810486,385438.8609549274,7510805.137892566,0.0,0.0,51953.27,50083.33,50552.83,50633.01
11,2021-12-08,1164325.55726466,460322.0117446029,6025908.311987315,0.0,0.0,51215.6,48711.85,50633.01,50513.04
12,2021-12-09,1400846.279299634,438808.1949082672,7667888.417460647,18453.78361999897,0.0,50829.41,47347.73,50513.04,47593.85
13,2021-12-10,1929158.439284385,447459.3153339104,7906892.102015278,0.0,0.0,50047.85,46989.42,47593.85,47191.14
14,2021-12-11,712110.0002540244,713569.3454315898,6206497.322007165,0.0,0.0,49504.07,46829.85,47191.14,49398.4
